Num,Name,Size,File Offset,Comment ,Bytes
12:00:00 AM,00000001.jpg ,     876 KB ,512, ,897275
07:00:00 AM,00001754.bmp ,     900 KB ,898048,  (640 x 480),921654
02:00:00 AM,00003556.gif ,      80 KB ,1820672,  (2580 x 1932),82633
03:00:00 AM,00016679.gif ,      51 KB ,8539648,  (2580 x 1932),52958
04:00:00 AM,00023232.gif ,       1 KB ,11894784,  (2580 x 1932),1929
08:00:00 AM,00044592.png ,       5 MB ,22831104,  (1932 x 2580),6164389
09:00:00 AM,00056664.png ,       7 MB ,29011968,  (2580 x 1932),8182655
01:00:00 AM,00072710.jpg ,       1 MB ,37227520, ,1625241
05:00:00 AM,00076013.gif ,       5 KB ,38918656,  (2580 x 1932),5912
10:00:00 AM,00080475.png ,       7 MB ,41203200,  (2580 x 1932),8107995
06:00:00 AM,00132183.gif ,      33 KB ,67677696,  (259 x 194),34480
11:00:00 AM,00225009.jpg ,       1 MB ,115204608, ,2015880
04:00:00 PM,00229075.png ,      10 MB ,117286400,  (2580 x 1932),11067334
12:00:00 PM,00250691.jpg ,     779 KB ,128353792, ,798064
05:00:00 PM,00252251.png ,      11 MB ,129152512,  (2580 x 1932),11592240
01:00:00 PM,00274895.jpg ,       1 MB ,140746240, ,1370140
06:00:00 PM,00277576.png ,       8 MB ,142118912,  (2580 x 1932),8455527
02:00:00 PM,00294099.jpg ,       1 MB ,150578688, ,1267394
03:00:00 PM,00325830.jpg ,     827 KB ,166824960, ,847709
07:00:00 PM,00327550.png ,       8 MB ,167705600,  (2580 x 1932),8761126
08:00:00 PM,00461670.jpg ,       1 MB ,236375040, ,1236401
09:00:00 PM,00464093.gif ,       1 KB ,237615616,  (1932 x 2580),1929
10:00:00 PM,00468489.gif ,       1 KB ,239866368,  (2580 x 1932),1929
24:00:00,00472898.png ,       8 MB ,242123776,  (2580 x 1932),8967394
11:00:00 PM,00519822.gif ,      16 KB ,266148864,  (259 x 194),16913
